Comment,Score,Suggestion
دوره‌ای که ارائه شد بسیار مفید و کاربردی بود,100,1
مدرس دوره بسیار با انرژی و دانشمند بود,75,1
محتوای دوره بسیار جامع و به‌روز بود,100,1
دوره خوبی بود ولی انتظار داشتم مثال‌های بیشتری ارائه شود,65,2
متاسفانه  این دوره نتوانست نیازهای یادگیری من را برآورده کند,35,3
دوره خیلی سریع پیش رفت و مطالب به خوبی توضیح داده نشدند,30,3
دوره مفیدی بود اما برخی از ویدیوها کیفیت پایینی داشتند,60,2
به نظر می‌رسد که این دوره برای مبتدیان طراحی شده است   نه حرفه‌ای‌ها,45,3
دوره عالی بود و من توانستم بلافاصله مطالب یاد گرفته شده را در کار خود به کار ببرم,97,1
مدرس بسیار مسلط بود و توانست مطالب را به زبان ساده توضیح دهد,95,1
دوره خوبی بود اما انتظار داشتم که تمرین‌های بیشتری داشته باشد,65,2
محتوای دوره بسیار قدیمی بود و به‌روزرسانی نشده بود,30,3
دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی یاد بگیرم,100,1
دوره به خوبی سازماندهی شده بود و مطالب به ترتیب منطقی ارائه شدند,95,1
مدرس دوره بسیار خوب بود ولی محتوای دوره کافی نبود,60,2
دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد,35,3
من از شرکت در این دوره بسیار راضی بودم و به دیگران هم توصیه می‌کنم,100,1
دوره بسیار طولانی بود و می‌توانست در زمان کمتری تکمیل شود,45,3
مدرس دوره بسیار خشک و بی‌روح تدریس می‌کرد و جذابیتی نداشت,34,3
دوره فوق‌العاده‌ای بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم,100,1
محتوای دوره بسیار متنوع و جذاب بود,98,1
دوره ارزشمندی بود ولی برخی از مباحث نیاز به توضیح بیشتر داشتند,75,2
مدرس دوره نتوانست اطلاعات را به خوبی منتقل کند,25,3
دوره بسیار مفید بود و من توانستم از مطالب آن در پروژه‌های شخصی‌ام استفاده کنم,95,1
دوره خوبی بود اما برخی از قسمت‌ها خیلی پیچیده توضیح داده شده بودند,66,2
متاسفانه  دوره نتوانست انتظارات من را برآورده کند و مطالب جدیدی یاد نگرفتم,28,3
دوره بسیار عالی بود و من به همه توصیه می‌کنم که در آن شرکت کنند,100,1
دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند,65,2
مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود,50,2
دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم,97,1
دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند,60,2
مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم,15,3
دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم,100,1
دوره خوبی بود ولی برخی از مباحث نیاز به توضیحات بیشتر داشتند,57,2
متاسفانه  دوره نتوانست به خوبی مطالب را توضیح دهد و من نتوانستم اطلاعات مفیدی کسب کنم,27,3
دوره بسیار عالی بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم,95,1
دوره خوبی بود ولی برخی از مباحث به اندازه کافی پوشش داده نشده بودند,40,2
مدرس دوره بسیار با تجربه بود ولی سبک تدریس او برای من جذاب نبود,25,2
دوره بسیار کامل و جامع بود و من توانستم بسیاری از مهارت‌های جدید را یاد بگیرم,99,1
دوره ارزشمندی بود ولی برخی از ویدیوها کیفیت پایینی داشتند,63,2
مدرس دوره نتوانست مطالب را به خوبی ارائه دهد و من نتوانستم اطلاعات زیادی کسب کنم,15,3
دوره بسیار مفید و کاربردی بود و من توانستم مهارت‌های جدیدی کسب کنم,97,1
دوره‌ای که ارائه شد بسیار مفید و کاربردی بود,100,1
مدرس دوره بسیار با انرژی و دانشمند بود,80,1
محتوای دوره بسیار جامع و به‌روز بود,95,1
دوره خوبی بود ولی انتظار داشتم مثال‌های بیشتری ارائه شود,68,2
متاسفانه  این دوره نتوانست نیازهای یادگیری من را برآورده کند,25,3
دوره خیلی سریع پیش رفت و مطالب به خوبی توضیح داده نشدند,32,3
دوره مفیدی بود اما برخی از ویدیوها کیفیت پایینی داشتند,60,2
به نظر می‌رسد که این دوره برای مبتدیان طراحی شده است، نه حرفه‌ای‌ها,50,3
دوره عالی بود و من توانستم بلافاصله مطالب یاد گرفته شده را در کار خود به کار ببرم,100,1
مدرس بسیار مسلط بود و توانست مطالب را به زبان ساده توضیح دهد,97,1
دوره خوبی بود اما انتظار داشتم که تمرین‌های بیشتری داشته باشد,88,2
محتوای دوره بسیار قدیمی بود و به‌روزرسانی نشده بود,10,3
دوره بسیار کاربردی بود و من توانستم مهارت‌های جدیدی یاد بگیرم,98,1
دوره به خوبی سازماندهی شده بود و مطالب به ترتیب منطقی ارائه شدند,90,1
مدرس دوره بسیار خوب بود ولی محتوای دوره کافی نبود,67,2
دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد,12,3
من از شرکت در این دوره بسیار راضی بودم و به دیگران هم توصیه می‌کنم,100,1
دوره بسیار طولانی بود و می‌توانست در زمان کمتری تکمیل شود,38,2
مدرس دوره بسیار خشک و بی‌روح تدریس می‌کرد و جذابیتی نداشت,17,3
دوره فوق‌العاده‌ای بود و من توانستم بسیاری از مفاهیم را به خوبی درک کنم,100,1
محتوای دوره بسیار متنوع و جذاب بود,96,1
دوره ارزشمندی بود ولی برخی از مباحث نیاز به توضیح بیشتر داشتند,64,2